tileNumber,tumor_stroma_log_cd8_ratio,MYH11+aSMA+ scores,tumor_CD8_density,stromal_CD8_density,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
1,0.428,0,802.337,1874.934,6329.322,2329.005,0.368
2,0.306,1,540.088,1765.321,5898.757,1678.653,0.285
3,0.326,1,670.926,2059.73,5693.851,1773.711,0.312
4,0.235,1.263034406,360.57,1535.205,4516.187,1145.812,0.254
5,0.325,0.321928095,399.945,1232.17,3928.201,1214.379,0.309
6,0.151,0,266.47,1759.352,5562.117,911.154,0.164
7,0.166,0,235.945,1423.431,5519.426,766.821,0.139
8,0.268,1.321928095,506.521,1886.569,5536.803,1266.302,0.229
9,0.232,2,485.026,2090.128,5197.076,1036.192,0.199
10,0.259,1.584962501,406.656,1569.583,4781.942,824.607,0.172
11,0.286,0,402.067,1403.904,4278.169,740.651,0.173
12,0.089,1,103.416,1157.981,4150.915,465.374,0.112
13,0.116,1,176.023,1522.085,4732.302,444.69,0.094
14,0.136,1,260.626,1914.842,5901.603,801.926,0.136
15,0.311,1,580.416,1868.308,5005.22,1429.543,0.286
16,0.241,1.321928095,312.724,1300.071,4532.356,956.568,0.211
17,0.291,1,1072.056,3686.82,8250.802,2588.45,0.314
18,0.357,0,716.446,2005.202,6156.712,1880.67,0.305
19,0.345,2,463.861,1345.179,3593.836,876.987,0.244
20,0.33,0.415037499,974.863,2951.963,6999.633,2172.789,0.31
21,0.473,1.321928095,530.301,1122.022,3449.8,1325.752,0.384
22,0.295,1,584.543,1980.987,5727.636,1388.29,0.242
23,0.658,0.415037499,321.623,488.635,1625.653,656.111,0.404
24,0.64,2.321928095,347.437,542.887,1824.705,652.503,0.358
25,0.208,2.321928095,285.524,1372.667,3786.148,718.137,0.19
26,0.281,1.584962501,153.728,546.439,1960.753,348.451,0.178
27,0.379,0.584962501,294.212,776.965,2866.136,784.565,0.274
28,0.245,1.584962501,350.695,1430.269,4611.615,907.232,0.197
29,0.267,1,431.069,1615.376,4995.241,1096.414,0.219
30,0.233,0,634.697,2729.043,7480.327,1516.925,0.203
31,0.232,0,564.824,2437.109,7582.117,1889.988,0.249
32,0.303,1.584962501,803.67,2651.382,8114.298,2229.046,0.275
33,0.317,1.263034406,870.077,2745.809,8371.008,2519.441,0.301
34,0.245,1.584962501,703.451,2872.452,6204.496,2006.903,0.323
35,0.286,0.584962501,515.894,1801.425,6120.227,1681.68,0.275
36,0.301,0,438.336,1456.613,5280.223,1456.166,0.276
37,0.277,0,374.595,1351.74,4461.686,1311.082,0.294
38,0.271,0,631.652,2330.309,7193.047,2397.037,0.333
39,0.292,0.584962501,560.4,1917.857,5591.041,1181.936,0.211
40,0.209,0.584962501,371.746,1782.537,5936.753,852.829,0.144
41,0.333,0.584962501,441.606,1325.984,4014.99,996.767,0.248
42,0.288,0.584962501,423.572,1473.276,4056.555,1004.022,0.248
43,0.258,1.584962501,254.139,983.513,3775.099,470.157,0.125
44,0.08,1,96.001,1195.841,3996.626,297.604,0.074
45,0.18,1,265.59,1477.592,5005.245,817.2,0.163
46,0.262,2,258.344,986.391,3168.407,611.415,0.193
47,0.307,0.736965594,554.884,1806.237,4834.988,1391.352,0.288
48,0.385,0.584962501,751.419,1951.202,5546.329,1753.312,0.316
49,0.243,2,380.407,1566.973,4944.069,1026.38,0.208
50,0.201,2.321928095,457.955,2277.466,5524.963,1272.846,0.23
51,0.237,2.321928095,467.875,1977.421,4782.131,1163.532,0.243
52,0.585,1,410.089,700.857,1944.632,1069.798,0.55
53,0.245,1.584962501,254.355,1039.512,3600.784,903.398,0.251
54,0.533,1.321928095,466.193,874.004,2515.191,1013.072,0.403
55,0.372,2.321928095,252.988,680.712,2042.135,767.125,0.376
56,0.28,2.321928095,243.999,870.642,2766.395,747.739,0.27
57,0.32,2.321928095,394.156,1229.986,3325.983,902.976,0.271
58,0.309,1.263034406,503.879,1629.019,4953.548,1056.076,0.213
59,0.262,1.584962501,521.267,1986.447,4992.028,1203.419,0.241
60,0.327,0,338.977,1035.631,3010.235,915.237,0.304
61,0.609,-0.584962501,381.735,627.191,2173.085,1101.579,0.507
62,0.407,-1.584962501,583.804,1433.629,5177.652,1710.3,0.33
63,0.379,0,521.102,1373.218,3257.402,1195.47,0.367
